,name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_month,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,international,european_or_international,time_to_first_funding,status_encoded
13924,Indicative Software,Software,6000000.0,acquired,USA,CO,Fort Collins,Fort Collins,1.0,1,2003,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0,international,3.2794520547945205,0
13936,Indisys,Enterprise Software,6447280.0,acquired,ESP,other,Seville,Seville,3.0,1,2005,0.0,6447280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,european,2.2684931506849315,0
13944,inDplay,Sales and Marketing,0.0,acquired,USA,CA,Los Angeles,Venice,1.0,1,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.15616438356164383,0
13958,Inertia Beverage Group,Software,25500100.0,closed,USA,CA,Napa Valley,Napa,3.0,10,2004,0.0,25500100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0,international,2.4438356164383563,1
13960,iNEWiT,Hardware + Software,5765000.0,closed,BEL,other,Brussels,Mechelen-bovelingen,3.0,1,2005,0.0,5765000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,european,1.7013698630136986,1
13973,Infima Technologies,Web Hosting,630000.0,closed,ISR,other,Tel Aviv,Herzliya,2.0,4,2006,380000.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,international,0.005479452054794521,1
13977,Infineta Systems,Software,30000000.0,closed,USA,CA,SF Bay Area,San Jose,2.0,1,2008,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000.0,15000000.0,0.0,0.0,0.0,0.0,0.0,0,international,2.347945205479452,1
13989,Infinity Box,Payments,118000.0,acquired,USA,FL,Tampa,Tampa,2.0,1,2006,18000.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.0,0
14005,Infobionics,Social Media,7000000.0,closed,USA,MN,Minneapolis,Eagan,2.0,1,2000,0.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,6.767123287671233,1
14008,Infochimps,Software,5650000.0,acquired,USA,TX,Austin,Austin,6.0,7,2009,0.0,2200000.0,0.0,0.0,0.0,3100000.0,350000.0,0.0,0.0,0.0,2200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,1.16986301369863,0
14011,Infoflow,Software,457000.0,closed,GBR,other,Sheffield,Sheffield,2.0,1,2006,0.0,457000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,european,1.3534246575342466,1
14017,Infoharmoni,Software,0.0,closed,USA,CA,SF Bay Area,San Francisco,1.0,1,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,1.1643835616438356,1
14019,InfoLogix,Enterprise Software,3000000.0,acquired,USA,PA,Philadelphia,Hatboro,1.0,1,2001,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,9.189041095890412,0
14038,Infrastruct Security,Security,6760000.0,closed,USA,TX,Houston,Houston,2.0,1,2006,0.0,4000000.0,0.0,0.0,0.0,2760000.0,0.0,0.0,0.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.5123287671232877,1
14040,inFreeDA,Advertising,0.0,acquired,USA,CA,SF Bay Area,Menlo Park,1.0,9,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.16712328767123288,0
14047,InGameNow,Curated Web,0.0,closed,other,other,other,other,1.0,3,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,international,0.0,1
14062,Inhale Digital,Facebook Applications,1300000.0,closed,USA,CA,SF Bay Area,San Francisco,2.0,8,2010,1100000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.0,1
14063,Inhance Media,Technology,0.0,acquired,USA,CA,Los Angeles,Van Nuys,1.0,1,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,7.0,0
14064,Inherited Health,Health and Wellness,1155000.0,acquired,USA,CA,Los Angeles,Los Angeles,2.0,11,2007,485000.0,0.0,0.0,0.0,0.0,0.0,670000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.16712328767123288,0
