,name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_month,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,time_to_first_funding,time_first_to_last_funding,status_encoded
29,121cast,Mobile,270000.0,operating,AUS,other,Melbourne,Melbourne,2.0,2,2012,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2465753424657534,0.536986301369863,2
30,121nexus,Pharmaceuticals,794000.0,operating,USA,RI,Providence,Providence,6.0,10,2011,69000.0,0.0,0.0,0.0,0.0,0.0,500000.0,225000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33424657534246577,1.904109589041096,2
31,1234ENTER,Advertising,650267.0,operating,other,other,other,other,2.0,1,2012,500000.0,150267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6684931506849315,1.2246575342465753,2
32,123ContactForm,SaaS,0.0,operating,ROM,other,Timisoara,Timisoara,1.0,1,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0027397260273974,0.0,2
33,1248,Software,378812.0,operating,GBR,other,London,Cambridge,1.0,1,2013,378812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2082191780821918,0.0,2
34,12Bis,other,130636.0,operating,FRA,other,Paris,Paris,1.0,1,2008,130636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.205479452054795,0.0,2
35,12Return,Software,619494.0,operating,NLD,other,NLD - Other,Gorinchem,1.0,12,2010,0.0,0.0,0.0,0.0,0.0,0.0,619494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4767123287671233,0.0,2
36,12Society,E-Commerce,0.0,acquired,USA,CA,Los Angeles,West Hollywood,1.0,1,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2602739726027397,0.0,0
37,1366 Technologies,Manufacturing,66450000.0,operating,USA,MA,Boston,Bedford,8.0,1,2007,0.0,63450000.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,12400000.0,28400000.0,17500000.0,0.0,0.0,0.0,0.0,0.0,1.2356164383561643,5.715068493150685,2
38,13th Lab,Mobile,700000.0,operating,SWE,other,Stockholm,Stockholm,1.0,1,2010,700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4547945205479453,0.0,2
39,140 Proof,Advertising,5500000.0,operating,USA,CA,SF Bay Area,San Francisco,2.0,1,2010,0.0,5500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5315068493150685,1.8246575342465754,2
40,140Fire,Entertainment,500000.0,operating,USA,CA,Los Angeles,Santa Monica,1.0,1,2010,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33972602739726027,0.0,2
41,15Five,Software,3400000.0,operating,USA,CA,SF Bay Area,San Francisco,3.0,5,2011,2200000.0,0.0,0.0,0.0,0.0,0.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6712328767123288,2.7534246575342465,2
42,15MinutesNOW,Games,200000.0,operating,other,other,other,other,1.0,4,2011,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057534246575342465,0.0,2
43,16 Mile Solutions,Software,199957.0,operating,USA,WA,Seattle,Seattle,1.0,1,2006,0.0,199957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4438356164383563,0.0,2
44,169 ST.,Games,50000.0,operating,USA,FL,Orlando,Lake Mary,1.0,5,2009,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04657534246575343,0.0,2
45,16Lab Inc.,other,0.0,operating,other,other,other,other,1.0,4,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5917808219178082,0.0,2
