name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
Coshared, Facebook Applications ,50000.0,operating,,,,,1.0,2013-05-27,2013-05,2013.0,2014-01-27,2014-01-27,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coship Electronics, Manufacturing ,2368582.0,operating,CHN,,Shenzhen,Shenzhen,1.0,1994-01-01,1994-01,1994.0,2001-02-01,2001-02-01,0.0,2368582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2368582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coskata, Clean Technology ,86220000.0,operating,USA,IL,Chicago,Warrenville,5.0,2006-07-01,2006-07,2006.0,2008-03-11,2013-08-30,0.0,83200000.0,0.0,0.0,0.0,3020000.0,0.0,0.0,0.0,0.0,0.0,19500000.0,40000000.0,23700000.0,0.0,0.0,0.0,0.0
Cosmederm Bioscience, Biotechnology ,50000000.0,operating,USA,CA,San Diego,San Diego,1.0,,,,2014-10-13,2014-10-13,0.0,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CosmEthics, Apps ,411454.0,operating,,,,,1.0,2013-10-01,2013-10,2013.0,2014-05-14,2014-05-14,411454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COSMIC COLOR, E-Commerce ,356139.0,operating,KOR,,Seoul,Seoul,2.0,2011-10-25,2011-10,2011.0,2013-03-11,2014-08-04,337854.0,18285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoSMo Company, Design ,5200000.0,operating,FRA,,Lyon,Lyon,1.0,2009-01-01,2009-01,2009.0,2014-03-31,2014-03-31,0.0,5200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmopolit Home, Tourism ,2583723.0,operating,FRA,,Lyon,Lyon,1.0,2012-01-01,2012-01,2012.0,2014-09-10,2014-09-10,2583723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CosmosID, Biotechnology ,1315000.0,operating,USA,MD,"Washington, D.C.",College Park,2.0,2007-01-01,2007-01,2007.0,2011-08-19,2011-09-27,0.0,1215000.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmotourist, Travel ,0.0,operating,DEU,,Munich,Munich,2.0,2005-09-01,2005-09,2005.0,2005-09-01,2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
